"dest_port: Descending",Timestamp,Attacks
161,"2021-11-17 00:00",8
161,"2021-11-17 12:00",13
161,"2021-11-18 00:00",2
161,"2021-11-18 12:00",6
161,"2021-11-19 00:00",2
161,"2021-11-19 12:00",2
161,"2021-11-22 00:00",6
161,"2021-11-22 12:00",2
161,"2021-11-23 00:00",19
161,"2021-11-23 12:00",10
161,"2021-11-24 12:00",18
161,"2021-11-25 00:00",4
161,"2021-11-25 12:00",10
161,"2021-11-29 00:00",6
161,"2021-11-29 12:00",16
161,"2021-12-02 00:00",6
161,"2021-12-03 00:00",2
161,"2021-12-03 12:00",8
161,"2021-12-06 00:00",4
161,"2021-12-06 12:00",12
1025,"2021-12-01 12:00",93
4567,"2021-11-17 00:00",4
4567,"2021-11-17 12:00",3
4567,"2021-11-18 00:00",1
4567,"2021-11-18 12:00",3
4567,"2021-11-19 00:00",1
4567,"2021-11-19 12:00",1
4567,"2021-11-22 00:00",3
4567,"2021-11-22 12:00",1
4567,"2021-11-23 00:00",3
4567,"2021-11-23 12:00",2
4567,"2021-11-24 12:00",9
4567,"2021-11-25 00:00",1
4567,"2021-11-25 12:00",2
4567,"2021-11-29 12:00",6
4567,"2021-12-06 12:00",2
2049,"2021-12-01 12:00",32
6000,"2021-12-01 12:00",32
