"username.keyword: Descending",Count
root,7299
user,2037
admin,318
"!root",229
blank,217
pi,178
0,124
ubuntu,85
test,54
guest,49
oracle,49
postgres,42
mos,40
miner,39
hadoop,32
git,31
ubnt,31
ossuser,30
odoo,25
ansible,24
h3,24
testuser,23
default,22
tomcat,22
ftpuser,21
minecraft,19
dmdba,18
weblogic,18
jenkins,17
server,17
service,17
support,17
tracerlab,17
ts3,17
debian,16
mysql,16
system,16
nginx,15
deploy,14
ftp,14
ftpadmin,14
teamspeak,14
ethos,13
deployer,12
elastic,12
supervisor,12
user1,12
Administrator,11
centos,11
mother,11
