"Top 999 unusual terms in proto.keyword","timestamp per 12 hours",Count
ICMP,"2021-10-29 00:00",2
ICMP,"2021-10-29 12:00",16
ICMP,"2021-10-30 00:00",9
ICMP,"2021-10-30 12:00",14
ICMP,"2021-10-31 00:00",18
ICMP,"2021-10-31 12:00",9
ICMP,"2021-11-01 00:00",8
ICMP,"2021-11-01 12:00",23
ICMP,"2021-11-02 00:00",18
ICMP,"2021-11-02 12:00",20
ICMP,"2021-11-03 00:00",12
ICMP,"2021-11-03 12:00",70
ICMP,"2021-11-04 00:00",686
ICMP,"2021-11-04 12:00",976
ICMP,"2021-11-05 00:00",796
ICMP,"2021-11-05 12:00",644
ICMP,"2021-11-06 00:00",742
ICMP,"2021-11-06 12:00",649
ICMP,"2021-11-07 00:00",850
ICMP,"2021-11-07 12:00",653
ICMP,"2021-11-08 00:00",670
ICMP,"2021-11-08 12:00",862
ICMP,"2021-11-09 00:00",628
ICMP,"2021-11-09 12:00","1,197"
ICMP,"2021-11-10 00:00",810
ICMP,"2021-11-10 12:00",680
ICMP,"2021-11-11 00:00",631
ICMP,"2021-11-11 12:00",877
ICMP,"2021-11-12 00:00",672
ICMP,"2021-11-12 12:00",847
ICMP,"2021-11-13 00:00",757
ICMP,"2021-11-13 12:00",915
ICMP,"2021-11-14 00:00",960
ICMP,"2021-11-14 12:00",814
ICMP,"2021-11-15 00:00",779
ICMP,"2021-11-15 12:00",789
ICMP,"2021-11-16 00:00",919
ICMP,"2021-11-16 12:00",559
IPv6,"2021-10-29 00:00",39
IPv6,"2021-10-29 12:00",148
IPv6,"2021-10-30 00:00",163
IPv6,"2021-10-30 12:00",159
IPv6,"2021-10-31 00:00",172
IPv6,"2021-10-31 12:00",161
IPv6,"2021-11-01 00:00",159
IPv6,"2021-11-01 12:00",156
IPv6,"2021-11-02 00:00",165
IPv6,"2021-11-02 12:00",150
IPv6,"2021-11-03 00:00",164
IPv6,"2021-11-03 12:00",156
IPv6,"2021-11-04 00:00",148
IPv6,"2021-11-04 12:00",686
IPv6,"2021-11-05 00:00",821
IPv6,"2021-11-05 12:00",821
IPv6,"2021-11-06 00:00",821
IPv6,"2021-11-06 12:00",832
IPv6,"2021-11-07 00:00",817
IPv6,"2021-11-07 12:00",823
IPv6,"2021-11-08 00:00",819
IPv6,"2021-11-08 12:00",818
IPv6,"2021-11-09 00:00",818
IPv6,"2021-11-09 12:00",829
IPv6,"2021-11-10 00:00",736
IPv6,"2021-11-10 12:00",138
IPv6,"2021-11-11 00:00",145
UDP,"2021-10-29 00:00",13
UDP,"2021-10-29 12:00",90
UDP,"2021-10-30 00:00",64
UDP,"2021-10-30 12:00",71
UDP,"2021-10-31 00:00",84
UDP,"2021-10-31 12:00",78
UDP,"2021-11-01 00:00",87
UDP,"2021-11-01 12:00",64
UDP,"2021-11-02 00:00",69
UDP,"2021-11-02 12:00",87
UDP,"2021-11-03 00:00",101
UDP,"2021-11-03 12:00",66
UDP,"2021-11-04 00:00",63
UDP,"2021-11-04 12:00",79
UDP,"2021-11-05 00:00",80
UDP,"2021-11-05 12:00",80
UDP,"2021-11-06 00:00",80
UDP,"2021-11-06 12:00",71
UDP,"2021-11-07 00:00",86
UDP,"2021-11-07 12:00",73
UDP,"2021-11-08 00:00",79
UDP,"2021-11-08 12:00",84
UDP,"2021-11-09 00:00",96
UDP,"2021-11-09 12:00",80
UDP,"2021-11-10 00:00",77
UDP,"2021-11-10 12:00",76
UDP,"2021-11-11 00:00",108
UDP,"2021-11-11 12:00",76
UDP,"2021-11-12 00:00",81
UDP,"2021-11-12 12:00",82
UDP,"2021-11-13 00:00",94
UDP,"2021-11-13 12:00",68
UDP,"2021-11-14 00:00",96
UDP,"2021-11-14 12:00",73
UDP,"2021-11-15 00:00",80
UDP,"2021-11-15 12:00",84
UDP,"2021-11-16 00:00",77
UDP,"2021-11-16 12:00",62
